Price (TL),Room,Size (m²),Building Age,IL,ILCE,Neighborhood
26000,3+1,120,17.0,Ankara,Altındağ,Aydınlıkevler Mah.
32000,3+1,135,47.0,Ankara,Çankaya,Çankaya Mah.
42000,3+1,135,35.0,Ankara,Çankaya,Kavaklıdere Mah.
55000,4+1,240,5.0,Ankara,Çankaya,Büyükesat Mah.
30000,2+1,95,21.0,Ankara,Çankaya,İlkadım Mah.
60000,4+1,190,15.0,Ankara,Çankaya,Koru Mah.
36000,2+1,110,,Ankara,Çankaya,Yukarı Dikmen Mah.
45000,3+1,160,9.0,Ankara,Çankaya,İlkbahar Mah.
33000,3+1,130,25.0,Ankara,Çankaya,Harbiye Mah.
50000,3+1,173,,Ankara,Çankaya,İlkbahar Mah.
21000,2+1,100,12.0,Ankara,Etimesgut,Piyade Mah.
12000,3+1,130,30.0,Ankara,Polatlı,Cumhuriyet Mah.
42000,3+1,145,35.0,Ankara,Çankaya,Aziziye Mah.
39000,3+1,115,45.0,Ankara,Çankaya,Güvenevler Mah.
30000,2+1,67,,Ankara,Çankaya,Emek Mah.
15000,3+1,140,21.0,Ankara,Gölbaşı,Tulumtaş Mah.
14000,3+1,120,30.0,Ankara,Yenimahalle,Demetgül Mah.
36500,2+1,105,6.0,Ankara,Gölbaşı,Hacılar Mah.
49000,1+1,90,1.0,Ankara,Yenimahalle,Emniyet Mah.
24000,1+1,70,3.0,Ankara,Çankaya,Aziziye Mah.
13000,1+1,60,20.0,Ankara,Çankaya,Emek Mah.
68000,5+1,235,,Ankara,Çankaya,Alacaatlı Mah.
24000,2+1,90,12.0,Ankara,Çankaya,Seyranbağları Mah.
16500,3+1,110,18.0,Ankara,Etimesgut,Atakent Mah.
32000,2+1,85,12.0,Ankara,Çankaya,Emek Mah.
50000,4+1,230,8.0,Ankara,Çankaya,Birlik Mah.
39500,2+1,90,5.0,Ankara,Çankaya,İlkbahar Mah.
2900,1+1,60,1.0,Ankara,Çankaya,Çamlıtepe Mah.
19500,3+1,125,30.0,Ankara,Keçiören,Güçlükaya Mah.
15000,2+1,105,30.0,Ankara,Keçiören,Şefkat Mah.
15000,11+1,85,30.0,Ankara,Keçiören,Şenlik Mah.
13500,3+1,110,30.0,Ankara,Keçiören,Güçlükaya Mah.
26000,3+1,125,30.0,Ankara,Çankaya,Bahçelievler Mah.
15000,2+1,90,40.0,Ankara,Çankaya,Ertuğrulgazi Mah.
26000,5+1,180,16.0,Ankara,Çankaya,Öveçler Mah.
32000,1+1,75,,Ankara,Gölbaşı,Seğmenler Mah.
28500,2+1,85,4.0,Ankara,Gölbaşı,Seğmenler Mah.
30000,2+1,90,5.0,Ankara,Çankaya,Hilal Mah.
30000,3+1,135,20.0,Ankara,Çankaya,Cevizlidere Mah.
13650,3+1,130,25.0,Ankara,Polatlı,Zafer Mah.
30000,2+1,90,55.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
25000,1+1,60,1.0,Ankara,Çankaya,Büyükesat Mah.
16500,3+1,110,30.0,Ankara,Keçiören,Emrah Mah.
47000,3+1,160,7.0,Ankara,Çankaya,Bahçelievler Mah.
1250,2+1,170,1.0,Ankara,Çankaya,Çamlıtepe Mah.
28000,3+1,135,17.0,Ankara,Çankaya,Öveçler Mah.
35000,2+1,95,29.0,Ankara,Çankaya,Güzeltepe Mah.
42000,3+1,140,20.0,Ankara,Çankaya,Emek Mah.
20000,3+1,125,40.0,Ankara,Altındağ,Aydınlıkevler Mah.
29000,1+1,55,,Ankara,Çankaya,Emek Mah.
19000,1+1,49,1.0,Ankara,Gölbaşı,İncek Mah.
30000,3+1,150,22.0,Ankara,Çankaya,Oğuzlar Mah.
22000,2+1,70,1.0,Ankara,Gölbaşı,İncek Mah.
20000,1+1,52,,Ankara,Gölbaşı,İncek Mah.
25000,3+1,115,40.0,Ankara,Çankaya,Cebeci Mah.
22000,2+1,105,21.0,Ankara,Etimesgut,Göksu Mah.
12500,Stüdyo,50,40.0,Ankara,Çankaya,100. Yıl Mah.
27500,3+1,135,26.0,Ankara,Çankaya,Aşağı Öveçler Mah.
25000,2+1,85,18.0,Ankara,Çankaya,Gökkuşağı Mah.
21000,1+1,65,1.0,Ankara,Çankaya,Çamlıtepe Mah.
25500,3+1,120,28.0,Ankara,Çankaya,Oğuzlar Mah.
15000,3+1,100,15.0,Ankara,Mamak,Fahri Korutürk Mah.
42000,2+1,130,10.0,Ankara,Gölbaşı,Hacılar Mah.
17000,3+1,115,25.0,Ankara,Çankaya,Ata Mah.
25000,3+1,130,20.0,Ankara,Çankaya,Ata Mah.
21000,1+1,70,,Ankara,Çankaya,Büyükesat Mah.
53000,3+1,160,7.0,Ankara,Yenimahalle,Mehmet Akif Ersoy Mah.
30000,3+1,140,18.0,Ankara,Çankaya,Ata Mah.
50000,2+1,134,,Ankara,Gölbaşı,Kızılcaşar Mah.
27000,1+1,65,4.0,Ankara,Gölbaşı,Kızılcaşar Mah.
35000,1+1,60,3.0,Ankara,Çankaya,Kültür Mah.
35000,1+1,60,3.0,Ankara,Çankaya,Kültür Mah.
75000,1+1,150,,Ankara,Çankaya,Barbaros Mah.
15000,2+1,95,30.0,Ankara,Çankaya,Ertuğrulgazi Mah.
30750,3+1,135,25.0,Ankara,Çankaya,Sancak Mah.
55000,4+1,270,25.0,Ankara,Çankaya,Bayraktar Mah.
27000,3+1,150,3.0,Ankara,Çankaya,Akpınar Mah.
21500,3+1,120,28.0,Ankara,Çankaya,Aydınlar Mah.
20000,2+1,100,25.0,Ankara,Çankaya,Mimar Sinan Mah.
25000,3+1,120,25.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
86000,4+1,240,15.0,Ankara,Çankaya,Yıldızevler Mah.
24000,3+1,100,35.0,Ankara,Çankaya,Harbiye Mah.
30000,3+1,160,12.0,Ankara,Yenimahalle,Pamuklar Mah.
20900,3+1,135,5.0,Ankara,Keçiören,Şehit Kubilay Mah.
32000,1+1,48,1.0,Ankara,Gölbaşı,Taşpınar Mah.
15000,3+1,125,20.0,Ankara,Sincan,Osmanlı Mah.
35000,4+1,150,24.0,Ankara,Yenimahalle,Kentkoop Mah.
28000,2+1,95,18.0,Ankara,Etimesgut,Elvan Mah.
22000,1+1,55,4.0,Ankara,Gölbaşı,Bahçelievler Mah.
41000,4+1,220,4.0,Ankara,Keçiören,Atapark Mah.
35000,5+1,280,12.0,Ankara,Altındağ,Aydınlıkevler Mah.
22500,3+1,115,20.0,Ankara,Keçiören,Emrah Mah.
14000,3+1,117,15.0,Ankara,Etimesgut,Yapracık Mah.
