"searchResultsLargeThumbnail href","searchResultsLargeThumbnail src","action href","titleIcon src","classifiedTitle","titleIcon href","titleIcon src 2","badge src","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsDateValue","searchResultsLocationValue"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-tepebasi-mah-foca-sok.3-plus1-bagimsiz-temiz-daire-ufuk-ozdemir-den-1236078873/detay","https://i0.shbdn.com/photos/07/88/73/lthmb_12360788731sl.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","https://s0.shbdn.com/assets/images/iconNew@2x:212343d37981801512b7b8b249315156.png","TEPEBAŞI MAH. FOÇA SOK.3+1 BAĞIMSIZ TEMİZ DAİRE UFUK ÖZDEMİR'DEN","https://ufukozdemiremlak.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","https://sm.shbdn.com/assets/common/store/badge/premium.png","120","3+1","23.500 TL","22 Mart","KeçiörenSanatoryum"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-eryaman-altay-mah-frekans-cadde-de-kiralik-2-plus1-1180679416/detay","https://i0.shbdn.com/photos/67/94/16/lthmb_11806794163nf.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","","ERYAMAN ALTAY MAH., FREKANS CADDE'DE, KİRALIK 2+1","https://remaxnote.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","https://sm.shbdn.com/assets/common/store/badge/premium.png","82","2+1","34.000 TL","22 Mart","EtimesgutEryaman"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-akpinar-mahallesinde-full-yapili-3-plus1-kiralik-daire-1166509236/detay","https://i0.shbdn.com/photos/50/92/36/lthmb_11665092367tr.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png","AKPINAR MAHALLESİNDE FULL YAPILI 3+1 KİRALİK DAİRE","https://ssgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","","170","3+1","37.500 TL","20 Mart","ÇankayaÖveçler"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-ev-sahibinden-1-plus1-sifir-esyali-balkonlu-daire-1235510515/detay","https://i0.shbdn.com/photos/51/05/15/lthmb_1235510515wwu.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","https://s0.shbdn.com/assets/images/iconHasVideo@2x:4667ff5b87098416c7b8e2219e70ff40.png","Ev Sahibinden, 1+1 Sıfır Eşyalı, Balkonlu Daire.","","","","50","1+1","21.500 TL","19 Mart","Gölbaşı"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-eryaman-da-merkezi-konumda-esyali-kiralik-1-plus1-residence-daire-1235137704/detay","https://i0.shbdn.com/photos/13/77/04/lthmb_1235137704te8.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","","ERYAMAN DA MERKEZİ KONUMDA EŞYALI KİRALIK 1+1 RESİDENCE DAİRE","https://goksudogaemlak.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","","65","1+1","24.000 TL","17 Mart","EtimesgutÇarşı"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-vadi-ankara-da-muhtesem-manzara-genis-balkon-143m2-net-lux-3,5-plus1-1080530448/detay","https://i0.shbdn.com/photos/53/04/48/lthmb_1080530448ibr.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","","VADİ ANKARA'DA MUHTEŞEM MANZARA GENİŞ BALKON 143M2 NET LUX 3,5+1","https://infoestategayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","https://sm.shbdn.com/assets/common/store/badge/premium.png","165","3+1","43.000 TL","16 Mart","ÇankayaKırkkonaklar"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-gop-ta-1-plus1-kis-bahceli-50-m2-kiralik-daire-1164609690/detay","https://i0.shbdn.com/photos/60/96/90/lthmb_1164609690z7i.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","https://s0.shbdn.com/assets/images/iconHasVideo@2x:4667ff5b87098416c7b8e2219e70ff40.png","GOP'TA 1+1 KIŞ BAHÇELİ 50 m2 KİRALIK DAİRE","https://eren-emlak.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","","60","1+1","26.500 TL","16 Mart","ÇankayaGaziosmanpaşa(Gop)"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-aileye-ogrenciye-uygun-yeni-binada-esyali-kiralik-1-plus1-1226026748/detay","https://i0.shbdn.com/photos/02/67/48/lthmb_1226026748egu.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","","AİLEYE ÖĞRENCİYE UYGUN YENİ BİNADA EŞYALI KİRALIK 1+1","https://alfainvestankara.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","https://sm.shbdn.com/assets/common/store/badge/premium.png","40","1+1","30.000 TL","15 Mart","ÇankayaKızılay"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-yilmaz-emlaktan-dikmen-ozdogukentte-kiralik-3-plus1-daire-1234566451/detay","https://i0.shbdn.com/photos/56/64/51/lthmb_1234566451xbo.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","","YILMAZ EMLAKTAN DİKMEN ÖZDOGUKENTTE KİRALIK 3+1 DAİRE","https://yilmazemlakdanismanligidikmen.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","","125","3+1","27.000 TL","14 Mart","ÇankayaÖveçler"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-basari-gayrimenkulden-kiralik-daire-demetevler-1234516134/detay","https://i0.shbdn.com/photos/51/61/34/lthmb_12345161341pp.jpg","https://www.sahibinden.com/kiralik-daire/ankara?pagingSize=50#","","BAŞARI GAYRİMENKULDEN KİRALIK DAİRE DEMETEVLER","https://basariemlakankara.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","","120","3+1","21.000 TL","14 Mart","YenimahalleDemetevler"
