Price (TL),Room,Size (m²),Building Age,City,District,Neighborhood,Room_Numeric
26000,3+1,120,17.0,Ankara,Altındağ,Aydınlıkevler Mah.,4
32000,3+1,135,47.0,Ankara,Çankaya,Çankaya Mah.,4
42000,3+1,135,35.0,Ankara,Çankaya,Kavaklıdere Mah.,4
55000,4+1,240,5.0,Ankara,Çankaya,Büyükesat Mah.,5
30000,2+1,95,21.0,Ankara,Çankaya,İlkadım Mah.,3
60000,4+1,190,15.0,Ankara,Çankaya,Koru Mah.,5
36000,2+1,110,8.2,Ankara,Çankaya,Yukarı Dikmen Mah.,3
45000,3+1,160,9.0,Ankara,Çankaya,İlkbahar Mah.,4
33000,3+1,130,25.0,Ankara,Çankaya,Harbiye Mah.,4
50000,3+1,173,8.473684210526315,Ankara,Çankaya,İlkbahar Mah.,4
21000,2+1,100,12.0,Ankara,Etimesgut,Piyade Mah.,3
12000,3+1,130,30.0,Ankara,Polatlı,Cumhuriyet Mah.,4
42000,3+1,145,35.0,Ankara,Çankaya,Aziziye Mah.,4
39000,3+1,115,45.0,Ankara,Çankaya,Güvenevler Mah.,4
30000,2+1,67,31.772727272727273,Ankara,Çankaya,Emek Mah.,3
15000,3+1,140,21.0,Ankara,Gölbaşı,Tulumtaş Mah.,4
14000,3+1,120,30.0,Ankara,Yenimahalle,Demetgül Mah.,4
36500,2+1,105,6.0,Ankara,Gölbaşı,Hacılar Mah.,3
49000,1+1,90,1.0,Ankara,Yenimahalle,Emniyet Mah.,2
24000,1+1,70,3.0,Ankara,Çankaya,Aziziye Mah.,2
13000,1+1,60,20.0,Ankara,Çankaya,Emek Mah.,2
68000,5+1,235,6.0,Ankara,Çankaya,Alacaatlı Mah.,6
24000,2+1,90,12.0,Ankara,Çankaya,Seyranbağları Mah.,3
16500,3+1,110,18.0,Ankara,Etimesgut,Atakent Mah.,4
32000,2+1,85,12.0,Ankara,Çankaya,Emek Mah.,3
50000,4+1,230,8.0,Ankara,Çankaya,Birlik Mah.,5
39500,2+1,90,5.0,Ankara,Çankaya,İlkbahar Mah.,3
2900,1+1,60,1.0,Ankara,Çankaya,Çamlıtepe Mah.,2
19500,3+1,125,30.0,Ankara,Keçiören,Güçlükaya Mah.,4
15000,2+1,105,30.0,Ankara,Keçiören,Şefkat Mah.,3
15000,11+1,85,30.0,Ankara,Keçiören,Şenlik Mah.,12
13500,3+1,110,30.0,Ankara,Keçiören,Güçlükaya Mah.,4
26000,3+1,125,30.0,Ankara,Çankaya,Bahçelievler Mah.,4
15000,2+1,90,40.0,Ankara,Çankaya,Ertuğrulgazi Mah.,3
26000,5+1,180,16.0,Ankara,Çankaya,Öveçler Mah.,6
32000,1+1,75,11.0,Ankara,Gölbaşı,Seğmenler Mah.,2
28500,2+1,85,4.0,Ankara,Gölbaşı,Seğmenler Mah.,3
30000,2+1,90,5.0,Ankara,Çankaya,Hilal Mah.,3
30000,3+1,135,20.0,Ankara,Çankaya,Cevizlidere Mah.,4
13650,3+1,130,25.0,Ankara,Polatlı,Zafer Mah.,4
30000,2+1,90,55.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.,3
