Title,Price (TL),Date,Location,Room,Size (m²),Building Age,Floor,Link,Page,Price per m² (TL)
"120 Square Meters Apartment For Rent in Altındağ, Ankara",26000,21-03-2025,Ankara / Altındağ / Aydınlıkevler Mah.,3+1,120,17.0,1.,https://www.hepsiemlak.com/en/ankara-altindag-aydinlikevler-kiralik/daire/8767-3057,1,216.66666666666666
"135 Square Meters Apartment For Rent in Çankaya, Ankara",32000,22-03-2025,Ankara / Çankaya / Çankaya Mah.,3+1,135,47.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-cankaya-kiralik/daire/4367-6024,1,237.03703703703704
"135 Square Meters Apartment For Rent in Çankaya, Ankara",42000,22-03-2025,Ankara / Çankaya / Kavaklıdere Mah.,3+1,135,35.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-kavaklidere-kiralik/daire/4367-6007,1,311.1111111111111
"240 Square Meters Apartment For Rent in Çankaya, Ankara",55000,21-03-2025,Ankara / Çankaya / Büyükesat Mah.,4+1,240,5.0,5.,https://www.hepsiemlak.com/en/ankara-cankaya-buyukesat-kiralik/daire/156186-14,1,229.16666666666666
"95 Square Meters Apartment For Rent in Çankaya, Ankara",30000,21-03-2025,Ankara / Çankaya / İlkadım Mah.,2+1,95,21.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-ilkadim-kiralik/daire/8230-116,1,315.7894736842105
"190 Square Meters Apartment For Rent in Çankaya, Ankara",60000,21-03-2025,Ankara / Çankaya / Koru Mah.,4+1,190,15.0,9.,https://www.hepsiemlak.com/en/ankara-cankaya-koru-kiralik/daire/70164-1211,1,315.7894736842105
"110 Square Meters Apartment For Rent in Çankaya, Ankara",36000,21-03-2025,Ankara / Çankaya / Yukarı Dikmen Mah.,2+1,110,,2.,https://www.hepsiemlak.com/en/ankara-cankaya-yukari-dikmen-kiralik/daire/4537-10862,1,327.27272727272725
"160 Square Meters Apartment For Rent in Çankaya, Ankara",45000,21-03-2025,Ankara / Çankaya / İlkbahar Mah.,3+1,160,9.0,6.,https://www.hepsiemlak.com/en/ankara-cankaya-ilkbahar-kiralik/daire/4690-2347,1,281.25
"130 Square Meters Apartment For Rent in Çankaya, Ankara",33000,20-03-2025,Ankara / Çankaya / Harbiye Mah.,3+1,130,25.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-harbiye-kiralik/daire/20665-1102,1,253.84615384615384
"173 Square Meters Apartment For Rent in Çankaya, Ankara",50000,17-03-2025,Ankara / Çankaya / İlkbahar Mah.,3+1,173,,16.,https://www.hepsiemlak.com/en/ankara-cankaya-ilkbahar-kiralik/daire/42663-3646,1,289.01734104046244
"100 Square Meters Apartment For Rent in Etimesgut, Ankara",21000,20-03-2025,Ankara / Etimesgut / Piyade Mah.,2+1,100,12.0,Underground 1,https://www.hepsiemlak.com/en/ankara-etimesgut-piyade-kiralik/daire/16407-11624,1,210.0
"130 Square Meters Apartment For Rent in Polatlı, Ankara",12000,20-03-2025,Ankara / Polatlı / Cumhuriyet Mah.,3+1,130,30.0,4.,https://www.hepsiemlak.com/en/ankara-polatli-cumhuriyet-kiralik/daire/54400-6637,1,92.3076923076923
